Dia;Mes;Ano;Estado;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;Tipo de protección;ANP;Buzo Monitor;Hora inicial buceo;Hora final buceo;Profundidad inicial (m);Profundidad final (m);Temperatura (°C);Visibilidad (m);Corriente;Transecto;Genero;Especie;GeneroEspecie;Sexo;Clase;Talla;Abundancia
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Damisela;sp.;Damisela sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Vieja;sp.;Vieja sp.;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Lutjanus;apodus;Lutjanus apodus;NA;06-oct;8;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Caranx;ruber;Caranx ruber;NA;06-oct;8;80
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Haemulon;sciurus;Haemulon sciurus;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Haemulon;flavolineatum;Haemulon flavolineatum;NA;nov-20;15.5;30
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Caranx;ruber;Caranx ruber;NA;nov-20;15.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Haemulon;carbonarium;Haemulon carbonarium;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Sparisoma;viride;Sparisoma viride;NA;nov-20;15.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;1;Lutjanus;apodus;Lutjanus apodus;NA;21-30;25.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Vieja;sp.;Vieja sp.;NA;0-5;2.5;4
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Lancero;sp.;Lancero sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Haemulon;flavolineatum;Haemulon flavolineatum;NA;06-oct;8;50
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Vieja;sp.;Vieja sp.;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Lancero;sp.;Lancero sp.;NA;06-oct;8;4
