Dia;Mes;Ano;Estado;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;Tipo de protección;ANP;Buzo Monitor;Hora inicial buceo;Hora final buceo;Profundidad inicial (m);Profundidad final (m);Temperatura (°C);Visibilidad (m);Corriente;Transecto;Genero;Especie;GeneroEspecie;Sexo;Clase;Talla;Abundancia
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Damisela;sp.;Damisela sp.;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Sparisoma;viride;Sparisoma viride;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Haemulon;plumierii;Haemulon plumierii;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Loro;sp.;Loro sp.;NA;06-oct;8;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Chromis;sp.;Chromis sp.;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Cephalopholis;cruentatus;Cephalopholis cruentatus;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Caranx;ruber;Caranx ruber;NA;nov-20;15.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Haemulon;sciurus;Haemulon sciurus;NA;nov-20;15.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Lutjanus;apodus;Lutjanus apodus;NA;nov-20;15.5;4
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Loro;sp.;Loro sp.;NA;nov-20;15.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Lutjanus;mahogoni;Lutjanus mahogoni;NA;nov-20;15.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;2;Ocyurus;chrysurus;Ocyurus chrysurus;NA;21-30;25.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Thalassoma;bifasciatum;Thalassoma bifasciatum;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Lancero;sp.;Lancero sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Haemulon;flavolineatum;Haemulon flavolineatum;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Vieja;sp.;Vieja sp.;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Lutjanus;apodus;Lutjanus apodus;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Mariposa;sp.;Mariposa sp.;NA;0-5;2.5;4
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Loro;sp.;Loro sp.;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Lancero;sp.;Lancero sp.;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Haemulon;flavolineatum;Haemulon flavolineatum;NA;06-oct;8;30
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Jose Luis Chan Caamal;9:50;ND;5;NA;ND;ND;ND;3;Lancero;sp.;Lancero sp.;NA;nov-20;15.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Lutjanus;apodus;Lutjanus apodus;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Lancero;sp.;Lancero sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Caranx;ruber;Caranx ruber;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Vieja;sp.;Vieja sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Abudefduf;saxatilis;Abudefduf saxatilis;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Mariposa;sp.;Mariposa sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Chromis;sp.;Chromis sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Caranx;ruber;Caranx ruber;NA;06-oct;8;12
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Abudefduf;saxatilis;Abudefduf saxatilis;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Lutjanus;mahogoni;Lutjanus mahogoni;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Ocyurus;chrysurus;Ocyurus chrysurus;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Sparisoma;viride;Sparisoma viride;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Caranx;ruber;Caranx ruber;NA;nov-20;15.5;15
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Lutjanus;griseus;Lutjanus griseus;NA;nov-20;15.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Anisotremus;virginicus;Anisotremus virginicus;NA;nov-20;15.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Pomacanthus;paru;Pomacanthus paru;NA;21-30;25.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;4;Lutjanus;apodus;Lutjanus apodus;NA;21-30;25.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Vieja;sp.;Vieja sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Lutjanus;mahogoni;Lutjanus mahogoni;NA;0-5;2.5;4
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Haemulon;carbonarium;Haemulon carbonarium;NA;0-5;2.5;4
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Haemulon;sciurus;Haemulon sciurus;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Caranx;ruber;Caranx ruber;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Loro;sp.;Loro sp.;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo;19.39949;-87.45519;Arrecife coralino;No Pesca;Refugio pesquero;RB Sian Ka'an;Mario Candelario Gongora Garcia;9:50;ND;5;NA;ND;ND;ND;5;Damisela;sp.;Damisela sp.;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Vieja;sp.;Vieja sp.;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Thalassoma;bifasciatum;Thalassoma bifasciatum;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Bodianus;rufus;Bodianus rufus;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Loro;sp.;Loro sp.;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Damisela;sp.;Damisela sp.;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Lancero;sp.;Lancero sp.;NA;06-oct;8;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Ocyurus;chrysurus;Ocyurus chrysurus;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Haemulon;flavolineatum;Haemulon flavolineatum;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Haemulon;plumierii;Haemulon plumierii;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;1;Pomacanthus;arcuatus;Pomacanthus arcuatus;NA;31-40;35.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;0-5;2.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Vieja;sp.;Vieja sp.;NA;0-5;2.5;5
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Thalassoma;bifasciatum;Thalassoma bifasciatum;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Lancero;sp.;Lancero sp.;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Caranx;ruber;Caranx ruber;NA;06-oct;8;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Damisela;sp.;Damisela sp.;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Vieja;sp.;Vieja sp.;NA;06-oct;8;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Haemulon;plumierii;Haemulon plumierii;NA;nov-20;15.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Sparisoma;aurofrenatum;Sparisoma aurofrenatum;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Ocyurus;chrysurus;Ocyurus chrysurus;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Jose Luis Chan Caamal;12:05;ND;5;NA;ND;ND;ND;2;Sparisoma;viride;Sparisoma viride;NA;nov-20;15.5;1
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Lutjanus;apodus;Lutjanus apodus;NA;0-5;2.5;27
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Vieja;sp.;Vieja sp.;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Lancero;sp.;Lancero sp.;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Haemulon;carbonarium;Haemulon carbonarium;NA;0-5;2.5;51
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Caranx;ruber;Caranx ruber;NA;0-5;2.5;3
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Damisela;sp.;Damisela sp.;NA;0-5;2.5;2
18;3;2012;Quintana Roo;Maria Elena;Cabezo (Control);19.39314;-87.45577;Arrecife coralino;Pesca;Ninguna;RB Sian Ka'an;Mario Candelario Gongora Garcia;12:05;ND;5;NA;ND;ND;ND;3;Abudefduf;saxatilis;Abudefduf saxatilis;NA;0-5;2.5;2
